timestamp,temperature,dew_point,humidity,wind_speed,pressure,uv_index,hour,dayofweek,minute,pred_temp_plus_1h,pred_temp_plus_3h
2025-06-01 19:15:48.514288,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:15:58.511898,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:16:08.513850,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:16:18.511339,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:16:28.543192,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:16:38.543299,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:16:48.543802,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:16:58.538834,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:17:08.557115,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:17:18.557215,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:17:28.556386,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:17:38.554375,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:17:48.556955,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:17:58.554366,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:18:08.555462,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:18:18.556867,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:18:28.564127,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:18:38.560337,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:18:48.566989,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:18:58.562645,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:19:08.566985,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:19:18.561875,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:19:28.561448,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:19:38.563250,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:19:48.572532,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:19:58.654847,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:20:08.567841,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:20:18.578589,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:20:28.557640,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:20:38.570171,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:20:48.576180,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:20:58.569046,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:21:08.584830,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:21:18.581062,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:21:28.569090,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:21:38.589096,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:21:48.579332,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:21:58.572451,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:22:08.572217,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:22:18.571863,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:22:28.567476,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:22:38.574043,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:22:48.569174,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:22:58.574444,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:23:08.571759,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:23:18.572812,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:23:28.572381,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:23:38.577868,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:23:48.578975,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:23:58.583439,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:24:08.578479,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:24:18.577569,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:24:28.580720,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:24:38.585518,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:24:48.577833,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:24:58.576107,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:25:08.575757,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:25:18.578723,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:25:28.575788,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:25:38.578629,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:25:48.580572,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:25:58.577259,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:26:08.577734,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:26:18.593338,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:26:28.577280,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:26:38.577040,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:26:48.577585,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:26:58.584058,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:27:08.579609,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:27:18.590685,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:27:28.586158,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:27:38.587045,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:27:48.583985,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:27:58.591269,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:28:08.609925,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:28:18.617775,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:28:28.603470,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:28:38.608236,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:28:48.601677,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:28:58.607647,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:29:08.610730,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:29:18.608971,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01 19:29:28.613672,60.0,48.0,64.0,8.51,29.77,0.9,,,,,
2025-06-01T20:08:29.155027,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,8.0,59.94,59.0
2025-06-01T20:08:39.155460,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,8.0,59.94,59.0
2025-06-01T20:08:49.162318,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,8.0,59.94,59.0
2025-06-01T20:08:59.164112,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,8.0,59.94,59.0
2025-06-01T20:09:09.156599,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,9.0,59.94,59.0
2025-06-01T20:09:19.159770,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,9.0,59.94,59.0
2025-06-01T20:09:29.160292,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,9.0,59.94,59.0
2025-06-01T20:09:39.162064,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,9.0,59.94,59.0
2025-06-01T20:09:49.160616,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,9.0,59.94,59.0
2025-06-01T20:09:59.160260,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,9.0,59.94,59.0
2025-06-01T20:10:09.160889,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,10.0,59.94,59.0
2025-06-01T20:10:19.165709,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,10.0,59.94,59.0
2025-06-01T20:10:29.163591,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,10.0,59.94,59.0
2025-06-01T20:10:39.161121,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,10.0,59.94,59.0
2025-06-01T20:10:49.171845,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,10.0,59.94,59.0
2025-06-01T20:10:59.167603,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,10.0,59.94,59.0
2025-06-01T20:11:09.161147,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,11.0,59.94,59.0
2025-06-01T20:11:19.164354,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,11.0,59.94,59.0
2025-06-01T20:11:29.167816,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,11.0,59.94,59.0
2025-06-01T20:11:39.165344,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,11.0,59.94,59.0
2025-06-01T20:11:49.168541,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,11.0,59.94,59.0
2025-06-01T20:11:59.173162,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,11.0,59.94,59.0
2025-06-01T20:12:09.205201,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,12.0,59.94,59.0
2025-06-01T20:12:19.186902,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,12.0,59.94,59.0
2025-06-01T20:28:20.502980,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,28.0,59.94,59.0
2025-06-01T20:28:30.505406,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,28.0,59.94,59.0
2025-06-01T20:28:40.507034,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,28.0,59.94,59.0
2025-06-01T20:28:50.504929,59.0,49.0,70.0,5.34,29.79,0.3,20.0,6.0,28.0,59.94,59.0
